Luna,Salariu
2008-01-01,1200
2008-02-01,1134
2008-03-01,1192
2008-04-01,1282
2008-05-01,1248
2008-06-01,1273
2008-07-01,1308
2008-08-01,1277
2008-09-01,1296
2008-10-01,1327
2008-11-01,1361
2008-12-01,1489
2009-01-01,1355
2009-02-01,1358
2009-03-01,1402
2009-04-01,1408
2009-05-01,1356
2009-06-01,1379
2009-07-01,1390
2009-09-01,1348
2009-09-01,1359
2009-10-01,1375
2009-11-01,1366
2009-12-01,1477
2010-01-01,1426
2010-02-01,1411
2010-03-01,1509
2010-04-01,1436
2010-05-01,1428
2010-06-01,1422
2010-07-01,1355
2010-10-01,1339
2010-09-01,1340
2010-10-01,1340
2010-11-01,1377
2010-12-01,1496
2011-01-01,1424
2011-02-01,1414
2011-03-01,1493
2011-04-01,1498
2011-05-01,1458
2011-06-01,1472
2011-07-01,1471
2011-11-01,1455
2011-09-01,1464
2011-10-01,1457
2011-11-01,1491
2011-12-01,1604
2012-01-01,1467
2012-02-01,1472
2012-03-01,1543
2012-04-01,1553
2012-05-01,1530
2012-06-01,1552
2012-07-01,1556
2012-12-01,1534
2012-09-01,1538
2012-10-01,1552
2012-11-01,1575
2012-12-01,1697
2013-01-01,1548
2013-02-01,1553
2013-03-01,1617
2013-04-01,1661
2013-05-01,1611
2013-06-01,1606
2013-07-01,1635
2013-01-01,1604
2013-09-01,1609
2013-10-01,1615
2013-11-01,1650
2013-12-01,1760
2014-01-01,1625
2014-02-01,1626
2014-03-01,1706
2014-04-01,1735
2014-05-01,1682
2014-06-01,1687
2014-07-01,1719
2014-02-01,1683
2014-09-01,1698
2014-10-01,1705
2014-11-01,1743
2014-12-01,1866
2015-01-01,1740
2015-02-01,1731
2015-03-01,1829
2015-04-01,1857
2015-05-01,1806
2015-06-01,1818
2015-07-01,1849
2015-03-01,1813
2015-09-01,1833
2015-10-01,1871
2015-11-01,1918
2015-12-01,2114
2016-01-01,1943
2016-02-01,1950
2016-03-01,2051
2016-04-01,2086
2016-05-01,2063
2016-06-01,2078
2016-07-01,2078
2016-04-01,2076
2016-09-01,2094
2016-10-01,2108
2016-11-01,2172
2016-12-01,2354
2017-01-01,2300
2017-02-01,2236
2017-03-01,2342
2017-04-01,2366
2017-05-01,2363
2017-06-01,2380
2017-07-01,2391
2017-05-01,2364
2017-09-01,2376
2017-10-01,2392
2017-11-01,2464
2017-12-01,2629
2018-01-01,2484
2018-02-01,2487
2018-03-01,2704
2018-04-01,2713
2018-05-01,2704
2018-06-01,2721
2018-07-01,2708
2018-06-01,2669
2018-09-01,2688
2018-10-01,2720
2018-11-01,2792
2018-12-01,2957
2019-01-01,2936
2019-02-01,2933
2019-03-01,3075
2019-04-01,3115
2019-05-01,3101
2019-06-01,3142
2019-07-01,3119
2019-07-01,3044
2019-09-01,3082
2019-10-01,3116
2019-11-01,3179
2019-12-01,3340
2020-01-01,3189
2020-02-01,3202
2020-03-01,3294
2020-04-01,3182
2020-05-01,3179
2020-06-01,3298
2020-07-01,3372
2020-08-01,3275
2020-09-01,3321
2020-10-01,3343
2020-11-01,3411
2020-12-01,3620
2021-01-01,3395
2021-02-01,3365
2021-03-01,3547
2021-04-01,3561
2021-05-01,3492
2021-06-01,3541
2021-07-01,3545
2021-09-01,3487
2021-09-01,3517
2021-10-01,3544
2021-11-01,3645
2021-12-01,3879
2022-01-01,3698
2022-02-01,3721
2022-03-01,3937
2022-04-01,3967
2022-05-01,3928
2022-06-01,3977
2022-07-01,3975
2022-10-01,3933
2022-09-01,4003
2022-10-01,4008
2022-11-01,4141
2022-12-01,4398
